SR NO.,Player,Match,Inns,NOT OUT,Runs,HS,Ave,SR,BF,100,50
532,SI Mahmood,26,15,4,85,22,7.72,84.15,101,0,3
533,DJ Malan,30,30,4,1450,140,55.76,97.44,1488,7,5
534,DE Malcolm,10,5,2,9,4,3,81.81,11,0,1
535,VJ Marks,34,24,3,285,44,13.57,65.66,434,0,0
536,PJ Martin,20,13,7,38,6,6.33,71.69,53,0,0
537,AD Mascarenhas,20,13,2,245,52,22.27,95.33,257,1,2
538,MP Maynard,14,12,1,156,41,14.18,69.33,225,0,1
539,SC Meaker,2,2,0,2,1,1,12.5,16,0,0
540,G Miller,25,18,2,136,46,8.5,51.32,265,0,3
541,EJG Morgan,225,207,32,6957,148,39.75,93.89,7410,42,15
542,JE Morris,8,8,1,167,63,23.85,74.22,225,1,0
543,MD Moxon,8,8,0,174,70,21.75,53.53,325,1,1
544,AD Mullally,50,25,10,86,20,5.73,36.13,238,0,6
545,P Mustard,10,10,0,233,83,23.3,92.46,252,1,0
546,PA Nixon,19,18,4,297,49,21.21,85.59,347,0,2
547,CM Old,32,25,7,338,51,18.77,84.28,401,1,4
548,G Onions,4,1,0,1,1,1,50,2,0,0
549,C Overton,7,5,2,68,32,22.66,89.47,76,0,1
550,MS Panesar,26,8,3,26,13,5.2,28.57,91,0,0
551,MW Parkinson,5,1,1,7,7,0,87.5,8,0,0
552,SR Patel,36,22,7,482,70,32.13,93.23,517,1,1
553,KP Pietersen,134,123,16,4422,130,41.32,86.7,5100,25,7
554,LE Plunkett,89,50,19,646,56,20.83,102.7,629,1,3
555,PI Pocock,1,1,0,4,4,4,44.44,9,0,0
556,MJ Potts,4,3,3,21,15,0,105,20,0,0
557,DR Pringle,44,30,12,425,49,23.61,68.99,616,0,1
558,MJ Prior,68,62,9,1282,87,24.18,76.76,1670,3,5
559,CT Radley,4,4,1,250,117,83.33,68.11,367,1,0
560,MR Ramprakash,18,18,4,376,51,26.85,69.11,544,1,0
561,DW Randall,49,45,5,1067,88,26.67,62.69,1702,5,4
562,WB Rankin,7,2,1,5,4,5,100,5,0,0
563,AU Rashid,135,68,23,826,69,18.35,98.45,839,1,6
564,CMW Read,36,24,7,300,30,17.64,73.17,410,0,4
565,DA Reeve,29,21,9,291,35,24.25,74.8,389,0,0
566,SJ Rhodes,9,8,2,107,56,17.83,71.33,150,1,0
567,CJ Richards,22,16,3,154,50,11.84,58.33,264,1,3
568,RT Robinson,26,26,0,597,83,22.96,58.18,1026,3,2
569,TS Roland-Jones,1,1,1,37,37,0,100,37,0,0
570,GRJ Roope,8,8,0,173,44,21.62,50.58,342,0,1
571,JE Root,171,160,23,6522,133,47.6,86.77,7516,39,9
572,BC Rose,2,2,0,99,54,49.5,47.14,210,1,0
573,JJ Roy,116,110,3,4271,180,39.91,105.53,4047,21,11
574,RC Russell,40,31,7,423,50,17.62,66.3,638,1,0
575,IDK Salisbury,4,2,1,7,5,7,58.33,12,0,0
576,PD Salt,19,17,0,619,122,36.41,133.4,464,3,0
577,OA Shah,71,66,6,1834,107,30.56,78.67,2331,12,6
578,A Shahzad,11,8,2,39,9,6.5,65,60,0,0
579,K Shuttleworth,1,1,0,7,7,7,36.84,19,0,0
580,RJ Sidebottom,25,18,8,133,24,13.3,68.55,194,0,2
581,CEW Silverwood,7,4,0,17,12,4.25,50,34,0,1
582,JA Simpson,3,2,0,20,17,10,64.51,31,0,0
583,WN Slack,2,2,0,43,34,21.5,50.58,85,0,0
584,GC Small,53,24,9,98,18,6.53,52.12,188,0,6
585,CL Smith,4,4,0,109,70,27.25,45.41,240,1,0
586,DM Smith,2,2,1,15,10,15,37.5,40,0,0
587,JL Smith,2,1,0,9,9,9,90,10,0,0
588,MJ Smith,5,5,0,70,31,14,44.02,159,0,1
589,NMK Smith,7,6,1,100,31,20,75.75,132,0,0
590,RA Smith,71,70,8,2419,167,39.01,69.65,3473,15,4
591,JN Snape,10,7,3,118,38,29.5,68.2,173,0,0
592,JA Snow,9,4,2,9,5,4.5,21.95,41,0,0
593,VS Solanki,51,46,5,1097,106,26.75,72.93,1504,5,2
594,DS Steele,1,1,0,8,8,8,66.66,12,0,0
595,GB Stevenson,4,4,3,43,28,43,76.78,56,0,0
596,AJ Stewart,170,162,14,4677,116,31.6,68.36,6842,28,13
597,BA Stokes,114,99,15,3463,182,41.22,95.68,3619,24,7
598,OP Stone,8,4,2,14,9,7,82.35,17,0,0
599,AJ Strauss,127,126,8,4205,158,35.63,80.94,5195,27,9
600,GP Swann,79,48,12,500,34,13.88,90.41,553,0,3
601,CJ Tavare,29,28,2,720,83,27.69,48.94,1471,4,1
602,JP Taylor,1,1,0,1,1,1,12.5,8,0,0
603,LB Taylor,2,1,1,1,1,0,16.66,6,0,0
604,RW Taylor,27,17,7,130,26,13,41.66,312,0,2
605,JWA Taylor,27,26,5,887,101,42.23,80.12,1107,7,2
606,JG Thomas,3,3,2,1,1,1,14.28,7,0,1
607,GP Thorpe,82,77,13,2380,89,37.18,71.17,3344,21,3
608,FJ Titmus,2,1,0,11,11,11,34.37,32,0,0
609,RJW Topley,29,14,11,35,15,11.66,50,70,0,1
610,JC Tredwell,45,25,11,163,30,11.64,67.35,242,0,3
611,CT Tremlett,15,11,4,50,19,7.14,56.17,89,0,1
612,ME Trescothick,123,122,6,4335,137,37.37,85.21,5087,21,13
613,IJL Trott,68,65,10,2819,137,51.25,77.06,3658,22,5
614,JO Troughton,6,5,1,36,20,9,47.36,76,0,1
615,AJ Tudor,3,2,1,9,6,9,81.81,11,0,0
616,PCR Tufnell,20,10,9,15,5,15,48.38,31,0,0
617,SD Udal,11,7,4,35,11,11.66,76.08,46,0,1
618,DL Underwood,26,13,4,53,17,5.88,39.84,133,0,2
619,MP Vaughan,86,83,10,1982,90,27.15,68.39,2898,16,9
620,JM Vince,25,22,0,616,102,28,87.62,703,3,1
621,SL Watkin,4,2,0,4,4,2,17.39,23,0,1
622,AP Wells,1,1,0,15,15,15,150,10,0,0
623,CM Wells,2,2,0,22,17,11,50,44,0,0
624,VJ Wells,9,7,0,141,39,20.14,55.73,253,0,0
625,AG Wharf,13,5,3,19,9,9.5,67.85,28,0,1
626,JJ Whitaker,2,2,1,48,44,48,73.84,65,0,0
627,C White,51,41,5,568,57,15.77,61.2,928,1,9
628,DJ Willey,73,46,19,663,51,24.55,95.67,693,2,1
629,P Willey,26,24,1,538,64,23.39,62.92,855,5,3
630,RGD Willis,64,22,14,83,24,10.37,52.86,157,0,4
631,CR Woakes,122,88,24,1524,95,23.81,89.12,1710,6,8
632,B Wood,13,12,2,314,78,31.4,48.53,647,2,1
633,L Wood,2,1,0,10,10,10,100,10,0,0
634,MA Wood,66,26,15,157,43,14.27,100.64,156,0,4
635,RA Woolmer,6,4,0,21,9,5.25,45.65,46,0,1
636,LJ Wright,50,39,4,707,52,20.2,86.21,820,2,5
637,MH Yardy,28,24,8,326,60,20.37,69.06,472,2,1
